Name,Developer,Initial release,Latest release,Programming language,Cost (US$),License,GUI,TUI or CLI
Version,Date
Smultron,Peter Borg,2004,12.0.6,2020-01-03,Objective-C,$7.99,Proprietary,,
Source Insight,Source Dynamics,?,4.0.0084,2017-02-26,Source Insight macro language,$239-$255,Proprietary,,
SubEthaEdit,TheCodingMonkeys,2003,5.2.4[35],2022-01-08,,No cost,MIT,,
Sublime Text,"Jon Skinner, Sublime HQ",2008,4 (Build 4143)[36],2022-11-11,"C++, Python",$99,Shareware,,
TED Notepad,Juraj Simlovic,2001,6.3.1[37],2021-12-01,C,No cost,Proprietary,,
Textadept,Mitchell,2007,,,"C, Lua",No cost,MIT,,
TextEdit,Apple Inc.,2001,1.18,2022-10-24,,No cost (also bundled with macOS),BSD-3-Clause,,
TextMate,MacroMates,2004-10-10,2.0.23[38],2021-10-12,Objective-C++,No cost,GPL-3.0-or-later,,
TextPad,Helios Software Solutions,1992,8.14.2[39],2022-11-22,,$30.00 (£16.50),Shareware,,
TextWrangler,Bare Bones Software,2003,5.5.2,2016-09-20,,No cost,Proprietary,,
The SemWare Editor,Sammy Mitchell,1985-11,4.43[40],2022-05,"C, SAL",No cost,BSD-2-Clause,,
UltraEdit,IDM Computer Solutions,1994,25.0,2018-03-12,C++,$99.95,Proprietary,,
VEDIT,"Ted Green, Greenview Data",1980,6.24.2,2015-01-12,"Assembly, C","$89 standard, $239 Pro64",Proprietary,,
vi,Bill Joy,1976,3.7,,C,No cost,BSD-4-Clause or CDDL,,
Vim,Bram Moolenaar,1991,9.0[41],2022-06-28,"C, Vim script",No cost,Vim,,
Visual Studio Code,Microsoft,2015,1.77.3[42],2023-04-12,"JavaScript, TypeScript",No cost,Source code: MIT[43]  Binaries built by Microsoft: Proprietary[44][45],,
XEmacs,Lucid Inc.,1991,21.4.22[46],2009-01-30,"C, Emacs Lisp",No cost,GPL-2.0-or-later,,
XNEdit,Olaf Wintermann,2018,1.4,2022-01-14,C,No cost,GPL-2.0-or-later,,
Name,Developer,Initial release,Latest release,Programming language,Cost (US$),License,GUI,TUI or CLI
Version,Date
